Grape,Country,Region,Location,Appellations,Characteristics,Classifications,Labelling
Albariño,Spain,Rías Baixas,,,,DO (Denominación de Origen),
Barbera,Italy,Piemonte,,Barbera d'Asti,,DOCG (Denominazione di Origine Controllata e Garantita),Superiore
Cabernet sauvignon,Australia,South Australia,,Coonawarra,"distinctive herbal (mint), black fruit and oak (smoke and cedar)",GI (Geographical Indication),
Cabernet sauvignon,Australia,Western Australia,,Margaret River,"ripe black-fruit aromas, subtle oak",GI (Geographical Indication),
Cabernet sauvignon,Chile,Central Valley,,Colchagua Valley,"distinctive herbal (mint) and herbaceous (green ball pepper), black fruit, oak",DO (Denominación de Origen),"Reserva, Gran Reserva"
Cabernet sauvignon,Chile,Central Valley,,Maipo Valley,"distinctive herbal (mint) and herbaceous (green ball pepper), black fruit, oak",DO (Denominación de Origen),"Reserva, Gran Reserva"
Cabernet sauvignon,France,Bordeaux,,,,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Château, Bordeaux Superieur"
Cabernet sauvignon,France,Bordeaux,Left Bank,Graves,,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Grand Cru Classé
Cabernet sauvignon,France,Bordeaux,Left Bank,"Graves, Pessac-Léognan",,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Grand Cru Classé
Cabernet sauvignon,France,Bordeaux,Left Bank,Médoc,,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Cru Bourgeois, Cru Classé"
Cabernet sauvignon,France,Bordeaux,Left Bank,"Médoc, Haut-Médoc, ",,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Cru Bourgeois, Cru Classé"
Cabernet sauvignon,France,Bordeaux,Left Bank,"Médoc, Haut-Médoc, Margaux",,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Grand Cru Classé
Cabernet sauvignon,France,Bordeaux,Left Bank,"Médoc, Haut-Médoc, Pauillac",,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Grand Cru Classé
Cabernet sauvignon,France,South of France,Languedoc-Roussillon,Pays d'Oc,,IGP (Indication Géographique Protégée),Pays d'Oc IGP
Cabernet sauvignon,New Zealand,New Zealand,North Island,Hawke's Bay,,GI (Geographical Indication),
Cabernet sauvignon,South Africa,Western Cape,Stellenbosch,,used in Cape Blend,Wine of Origin (WO),Estate Wine
Cabernet sauvignon,USA,California,Northern California,Napa Valley,ripest and full-bodied,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Cabernet sauvignon,USA,California,Northern California,"Napa Valley, Calistoga",ripest and full-bodied,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Cabernet sauvignon,USA,California,Northern California,"Napa Valley, Oakville",ripest and full-bodied,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Cabernet sauvignon,USA,California,Northern California,"Napa Valley, Rutherford",ripest and full-bodied,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Cabernet sauvignon,USA,California,Northern California,Sonoma,ripest and full-bodied,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Carmenère,Chile,Central Valley,,,pungent herbaceous notes,DO (Denominación de Origen),"Reserva, Gran Reserva"
Chardonnay,Australia,South Australia,Adelaide Hills,,"medium, high acidity; carefully balanced with oak",GI (Geographical Indication),
Chardonnay,Australia,Southeastern Australia,,,,GI (Geographical Indication),
Chardonnay,Australia,Southeastern Australia,Yarra Valley,,"medium, high acidity; carefully balanced with oak",GI (Geographical Indication),
Chardonnay,Australia,Western Australia,Margaret River,,"medium to full body, ripe stone fruit (peach) and tropical fruit flavours (pineapple)",GI (Geographical Indication),
Chardonnay,Chile,Casablanca Valley,,,,DO (Denominación de Origen),"Reserva, Gran Reserva"
Chardonnay,Chile,Central Valley,,,,DO (Denominación de Origen),"Reserva, Gran Reserva"
Chardonnay,France,Burgundy,,,"simple, apple and lemon, high acidity",AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Grand Cru, Premier Cru, Village, Regional"
Chardonnay,France,Burgundy,Chablis,,"dry, high acidity, flavours: apple, lemon, wet stones; unoaked",AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Grand Cru, Premier Cru, Village, Petit Chablis"
Chardonnay,France,Burgundy,Côte d'Or,"Côte de Beaune, Meursault",oak or aging on lees is common,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Premier Cru
Chardonnay,France,Burgundy,Côte d'Or,"Côte de Beaune, Puligny-Montrachet",oak or aging on lees is common,AOC/AOP (Appellation d'Origine Contrôlée/Protégée),"Grand Cru, Premier Cru"
Chardonnay,France,Burgundy,Mâconnais,Mâcon,"fruity, unoaked",AOC/AOP (Appellation d'Origine Contrôlée/Protégée),
Chardonnay,France,Burgundy,Mâconnais,Pouilly-Fuissé,"concentrated, often oaked",AOC/AOP (Appellation d'Origine Contrôlée/Protégée),Premier Cru
Chardonnay,France,South of France,,,,IGP (Indication Géographique Protégée),
Chardonnay,France,South of France,Languedoc-Roussillon,Pays d'Oc,"peach, pineapple and banana ",IGP (Indication Géographique Protégée),Pays d'Oc IGP
Chardonnay,New Zealand,New Zealand,North Island,Hawke's Bay,full body; pronounced stone fruit flavours,GI (Geographical Indication),
Chardonnay,New Zealand,South Island,Marlborough,,"ripe lemon, peach, melon; high acidity, subtle oak",GI (Geographical Indication),
Chardonnay,South Africa,Western Cape,,,,Wine of Origin (WO),Estate Wine
Chardonnay,South Africa,Western Cape,Walker Bay,,"high acidity, ripe stone fruit, tropical fruit and oak",Wine of Origin (WO),Estate Wine
Chardonnay,USA,California,Central Coast,Santa Barbara County,"tropical fruit flavours, high alcohol, flavours from new oak",AVA (American Viticultural Area),Reserve
Chardonnay,USA,California,Northern California,Carneros,,AVA (American Viticultural Area),Reserve
Chardonnay,USA,California,Northern California,Napa Valley,"full-bodied, pronounced tropical-fruit flavours; vanilla from new oak",AVA (American Viticultural Area),"Reserve, Estate Bottled"
Chardonnay,USA,California,Northern California,Sonoma,,AVA (American Viticultural Area),"Reserve, Estate Bottled"
Chardonnay,USA,Oregon,,,high acidity,AVA (American Viticultural Area),Reserve
