Grape,Climate,Acidity,Tannins,Sweetness,Body,Flavour,Oak,Characteristics,Aged Characteristics
Pinot Noir,"Cool, Moderate",High,"Low, Medium",,"Light, Medium","• Red fruit: strawberry, raspberry, red cherry",Careful use of oak,"• Thin skin
• Typically single varietal
• Used to make sparkling wines","• Mushroom
• Forest floor"
Zinfandel / Primitivo,Warm,"Medium, High","Medium, High",,,"• Red fruits (strawberries, raspberries)
• Black fruits (plums, black cherries)","Red wines often oaked	
","• Thin skin
• Typically single varietal
• Used to make sparkling wines","• Earth
• Meat"
Riesling,"Cool, Moderate",High,,"Dry, Off-dry, Medium, Sweet","Light, Medium, Full","• Just ripe: green fruit (apple, pear), citrus (lemon lime) and floral (blossom)
• Extra ripe: stone fruit (peach, apricot), tropical fruit (mango, pineapple) and dried fruit (apricot)",Unoaked,"• Susceptible to botrytis/noble rot
• Aromatic variety
• Fruit characteristics vary according to ripeness
• Many harvest options","• Honey
• Petrol"
Chenin Blanc,"Cool, Moderate, Warm",High,,"Dry, Off-dry, Medium, Sweet",,"• Just ripe: green fruit (apple) and citrus (lemon)
• Extra ripe: stone fruit (peach) and tropical fruit (pineapple, mango)",Oaked or unoaked,"• Versatile: climates
• Susceptible to botrytis/noble rot
• Many harvest options","• Dried fruit
• Honey"
Sémillon / semillon,"Moderate, Warm","Medium, High",,"Dry, Off-dry, Medium, Sweet","Light, Medium, Full","• Young: apple, lemon, grass
• Developed: honey, nuts, raisins",Oaked or unoaked,"• Susceptible to botrytis/noble rot
• Many harvest options
• Sometimes blended (sauvignon blanc)",• Can age
Furmint,Moderate,High,,"Dry, Off-dry, Medium, Sweet",,• ,Oaked or unoaked,• Susceptible to botrytis/noble rot,"• Dried fruit
• Caramel
• Nuts"
Chardonnay,"Cool, Moderate, Warm","High, Medium",,Dry,"Light, Medium, Full","• Cool: green fruit (apple, pear), citrus (lemon, lime) and wet stones
• Moderate: lemon, stone fruits (peach) and sometimes tropical fruit (melon)
• Warm: stone fruit (peach), tropical fruit (pineapple, banana)",Oaked or unoaked,"• Versatile: range of climats
• Range of winemaking techniques including lees, malolactic conversion
• Used to make sparkling wines","• Hazelnut
• Mushroom"
Sauvignon blanc,"Cool, Moderate",High,,Dry,"Light, Medium","• Herbaceous, floral (grass, green bell pepper, asparagus)
• Just ripe: green fruits (apple, gooseberry), wet stones
• Ripe: tropical fruit (passion fruit)",Typically unoaked,"• Aromatic variety
• Typically single varietal
• Sometimes blended with sémillon/semillon",• For early drinking
Pinot grigio,"Cool, Moderate","Medium, High",,Dry,Light,"• Green apple
• Lemon",Typically unoaked,• Simple,• For early drinking
Pinot gris,"Cool, Moderate","Medium, High",,"Dry, Off-dry, Medium",Full,"• Lemon
• Stone fruit (peach)
• Tropical fruit (mango, banana)",Typically unoaked,• Complex,"• Honey
• Ginger"
Gewurztraminer,"Cool, Moderate","Low, Medium",,"Dry, Off-dry, Medium, Sweet",Full,"• Floral (rose)
• Stone fruit (peach, apricot)
• Tropical fruit (lychee)",Typically unoaked,• Aromatic variety,"• Honey
• Dried fruit"
Viognier,Moderate,"Low, Medium",,Dry,"Medium, Full","• Floral (blossom)
• Stone fruit (peach, apricot)",Oaked or unoaked,• Single varietal or blended,• 
Albariño,Moderate,High,,Dry,Medium,"• Citrus (lemon, grapefruit)
• Stone fruit (peach, apricot)",Oaked or unoaked,• ,• For early drinking
Cabernet sauvignon,"Moderate, Warm",High,High,,"Medium, Full","• Herbaceous (green ball pepper), mint
• Black fruit (blackcurrant, black cherry)",Oak maturation is common,"• Thick skinned
• Single varietal or blended
• Simple or complex","• Dried fruit
• Earth
• Forest floor"
Merlot,"Moderate, Warm",Medium,Medium,,"Light, Medium, Full","• Just ripe: herbaceous (green ball pepper), red fruit (strawberry, red plum)
• Ripe: black fruit (cooked blackberry, black plum)",Oaked or unoaked,"• Single varietal or blended
• Simple or complex","• Dried fruit
• Tobacco"
Syrah / Shiraz,"Moderate, Warm","Medium, High","Medium, High",,"Medium, Full","• Thick skin
• Black fruit (black cherry, blackberry)
• Herbal
• Black pepper",Oak maturation is common,• Single varietal or blended,"• Dried fruit
• Leather
• Meat
• Earth"
Gamay,Moderate,High,"Low, Medium",,Light,"• Red fruit: raspberry, red cherry, red plum",Typically unoaked,• Carbonic maceration give aromas and flavours of banana and candy,• For early drinking
